run_number, turns, k_count, g_count
577, 4, 4, 0
578, 5, 5, 0
579, 4, 4, 0
580, 4, 4, 2
581, 4, 4, 0
582, 3, 3, 1
583, 3, 3, 0
584, 5, 5, 1
585, 5, 5, 1
586, 4, 4, 0
587, 5, 5, 2
588, 5, 5, 1
589, 5, 5, 1
590, 4, 4, 0
591, 3, 3, 0
592, 4, 4, 1
593, 3, 3, 0
594, 4, 4, 1
595, 4, 4, 0
596, 4, 4, 0
597, 3, 3, 0
598, 2, 0, 1
599, 4, 4, 0
600, 4, 4, 0
601, 4, 4, 2
602, 4, 4, 0
603, 4, 4, 0
604, 4, 4, 0
605, 4, 4, 0
606, 4, 4, 1
607, 5, 3, 0
608, 5, 5, 1
609, 4, 4, 2
610, 4, 4, 0
611, 4, 4, 1
612, 3, 3, 0
613, 4, 4, 0
614, 4, 4, 0
615, 4, 4, 0
616, 4, 4, 1
617, 4, 4, 0
618, 4, 4, 0
619, 4, 4, 0
620, 5, 5, 1
621, 4, 4, 1
622, 2, 0, 1
623, 4, 4, 0
624, 4, 4, 1
625, 4, 4, 1
626, 4, 4, 0
627, 1, 0, 1
628, 4, 3, 0
629, 4, 4, 1
630, 4, 4, 0
631, 3, 3, 0
632, 4, 3, 0
633, 4, 4, 0
634, 4, 4, 0
635, 4, 4, 0
636, 4, 4, 1
637, 4, 4, 0
638, 4, 4, 1
639, 4, 4, 0
640, 4, 4, 0
641, 3, 3, 0
642, 5, 5, 1
643, 4, 4, 0
644, 4, 4, 0
645, 4, 4, 1
646, 4, 4, 0
647, 4, 4, 0
648, 4, 4, 2
649, 4, 4, 0
650, 1, 0, 1
651, 4, 4, 0
652, 4, 4, 0
653, 4, 4, 0
654, 4, 4, 0
655, 4, 4, 0
656, 4, 4, 0
657, 4, 4, 1
658, 4, 4, 0
659, 4, 4, 0
660, 4, 3, 0
661, 4, 4, 1
662, 4, 4, 0
663, 5, 4, 0
664, 4, 4, 0
665, 5, 5, 0
666, 5, 4, 0
667, 1, 0, 1
668, 4, 4, 0
669, 4, 4, 0
670, 4, 4, 0
671, 4, 4, 0
672, 4, 4, 2
673, 4, 4, 0
674, 4, 4, 0
675, 3, 3, 0
676, 4, 4, 0
677, 4, 4, 0
678, 5, 4, 1
679, 4, 4, 0
680, 4, 4, 0
681, 4, 4, 0
682, 5, 4, 0
683, 4, 4, 0
684, 1, 0, 1
685, 1, 0, 1
686, 4, 4, 0
687, 4, 4, 1
688, 4, 4, 0
689, 3, 3, 0
690, 4, 4, 0
691, 4, 4, 0
692, 4, 4, 1
693, 1, 0, 1
694, 4, 4, 2
695, 4, 4, 0
696, 5, 4, 0
697, 3, 3, 1
698, 4, 4, 1
699, 4, 4, 0
700, 4, 4, 1
701, 4, 4, 2
702, 4, 4, 0
703, 4, 4, 0
704, 5, 5, 2
705, 4, 4, 0
706, 4, 4, 0
707, 4, 4, 0
708, 4, 4, 1
709, 4, 4, 0
710, 4, 4, 0
711, 4, 4, 0
712, 4, 4, 1
713, 4, 4, 0
714, 4, 4, 1
715, 5, 5, 1
716, 4, 4, 1
717, 4, 4, 0
718, 4, 4, 0
719, 1, 0, 1
720, 4, 4, 0
721, 4, 4, 0
722, 4, 4, 0
723, 4, 4, 0
724, 3, 3, 0
725, 4, 4, 0
726, 6, 5, 1
727, 4, 4, 2
728, 4, 4, 0
729, 3, 3, 0
730, 5, 4, 0
731, 4, 4, 0
732, 4, 4, 1
733, 4, 4, 1
734, 4, 4, 0
735, 4, 4, 0
736, 3, 3, 0
737, 4, 4, 0
738, 4, 4, 0
739, 4, 4, 0
740, 4, 4, 0
741, 4, 4, 0
742, 4, 4, 0
743, 4, 4, 1
744, 4, 4, 0
745, 4, 4, 1
746, 4, 4, 0
747, 4, 4, 1
748, 6, 5, 1
749, 5, 5, 1
750, 4, 4, 0
751, 4, 4, 0
752, 4, 4, 0
753, 4, 4, 0
754, 4, 4, 0
755, 4, 4, 0
756, 4, 4, 1
757, 4, 4, 0
758, 3, 3, 0
759, 5, 4, 0
760, 4, 4, 0
761, 4, 4, 0
762, 4, 4, 1
763, 4, 4, 1
764, 5, 4, 0
765, 4, 4, 1
766, 4, 4, 1
767, 4, 4, 0
768, 4, 4, 1
769, 4, 4, 0
770, 3, 3, 0
771, 5, 4, 0
772, 4, 4, 0
773, 4, 4, 0
774, 4, 4, 0
775, 4, 4, 0
776, 4, 4, 0
777, 4, 4, 0
778, 3, 0, 1
779, 4, 4, 0
780, 4, 4, 0
781, 4, 4, 1
782, 4, 4, 0
783, 4, 4, 0
784, 4, 4, 0
785, 7, 5, 1
786, 5, 5, 1
787, 5, 4, 0
788, 1, 0, 1
789, 4, 4, 0
790, 3, 3, 0
791, 4, 4, 0
792, 4, 4, 1
793, 4, 4, 0
794, 4, 4, 1
795, 4, 4, 0
796, 4, 4, 1
797, 5, 4, 1
798, 6, 5, 2
799, 4, 4, 1
800, 4, 4, 0
801, 4, 4, 0
802, 5, 4, 1
803, 5, 5, 1
804, 4, 4, 1
805, 4, 4, 1
806, 4, 4, 1
807, 4, 4, 1
808, 3, 0, 1
809, 4, 4, 1
810, 4, 4, 1
811, 4, 4, 0
812, 4, 4, 1
813, 4, 4, 0
814, 4, 4, 0
815, 4, 4, 0
816, 4, 3, 0
817, 1, 0, 1
818, 4, 4, 0
819, 5, 4, 0
820, 1, 0, 1
821, 1, 0, 1
822, 4, 4, 1
823, 4, 4, 1
824, 4, 4, 0
825, 4, 4, 0
826, 4, 4, 0
827, 4, 4, 1
828, 4, 4, 0
829, 4, 4, 1
830, 4, 4, 1
831, 4, 4, 1
832, 4, 4, 0
833, 4, 3, 0
834, 4, 4, 0
835, 4, 4, 0
836, 5, 4, 0
837, 4, 4, 1
838, 4, 4, 0
839, 4, 4, 0
840, 5, 5, 0
841, 4, 4, 0
842, 4, 4, 0
843, 3, 3, 1
844, 5, 5, 0
845, 4, 4, 0
846, 3, 3, 0
847, 4, 4, 1
848, 1, 0, 1
849, 5, 5, 1
850, 4, 4, 0
851, 1, 0, 1
852, 5, 5, 1
853, 4, 4, 1
854, 4, 4, 0
855, 4, 3, 1
856, 1, 0, 1
857, 4, 4, 0
858, 3, 3, 0
859, 1, 0, 1
860, 3, 3, 0
861, 4, 4, 0
862, 5, 4, 1
